set horizon := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 ;

set datasets := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 ;

set weatherBins := 0 1 2 3 4 5 6 7 8 ;

param energyDemand := 
11 14 44964.594189 
11 15 46214.794776 
11 16 47090.233399 
11 17 47455.961610 
11 18 47224.093420 
11 19 46739.639396 
11 20 46962.733933 
11 21 45892.223204 
11 22 44611.470692 
11 23 42904.079139 
12 0 40448.729805 
12 1 37799.239085 
12 2 35816.732442 
12 3 34564.567545 
12 4 33790.446770 
12 5 33524.084626 
12 6 34036.076967 
12 7 35555.428804 
12 8 38244.655518 
12 9 39374.369399 
12 10 40458.126900 
12 11 42100.617113 
12 12 43741.025966 
12 13 45224.033984 
12 14 46603.412045 
12 15 47974.437119 
12 16 48761.620130 
12 17 48965.933596 
12 18 48508.391365 
12 19 47815.062647 
12 20 47599.509309 
12 21 46260.289411 
12 22 44908.116168 
12 23 42949.956503 
13 0 40272.221902 
13 1 37827.166057 
13 2 35899.640590 
13 3 34708.682482 
13 4 33911.046084 
13 5 33641.878401 
13 6 34089.118276 
13 7 35760.405021 
13 8 38821.990676 
13 9 40124.091232 
13 10 40466.419523 
13 11 41139.111684 
13 12 41210.948078 
13 13 40875.395240 
13 14 40532.745367 
13 15 40423.708319 
13 16 40303.834305 
13 17 40040.773185 
13 18 40024.269763 
13 19 41178.240314 
13 20 42377.034901 
13 21 42270.954512 
13 22 41777.214337 
13 23 40549.346544;

param histWeather := 
0 0 46.400000 
0 1 45.200000 
0 2 44.300000 
0 3 43.400000 
0 4 42.400000 
0 5 41.900000 
0 6 41.200000 
0 7 40.300000 
0 8 41.200000 
0 9 45.500000 
0 10 50.500000 
0 11 54.700000 
0 12 57.200000 
0 13 59.100000 
0 14 60.500000 
0 15 61.400000 
0 16 61.900000 
0 17 61.500000 
0 18 58.800000 
0 19 54.900000 
0 20 50.600000 
0 21 48.300000 
0 22 47.200000 
0 23 45.600000 
1 0 44.700000 
1 1 44.200000 
1 2 43.200000 
1 3 42.800000 
1 4 41.600000 
1 5 41.400000 
1 6 40.200000 
1 7 40.400000 
1 8 41.400000 
1 9 46.800000 
1 10 52.600000 
1 11 57.400000 
1 12 61.500000 
1 13 63.500000 
1 14 65.500000 
1 15 66.600000 
1 16 66.700000 
1 17 66.700000 
1 18 63.600000 
1 19 56.700000 
1 20 54.700000 
1 21 52.100000 
1 22 51.000000 
1 23 49.400000 
2 0 49.700000 
2 1 49.500000 
2 2 47.300000 
2 3 45.700000 
2 4 45.700000 
2 5 45.100000 
2 6 43.600000 
2 7 42.500000 
2 8 42.400000 
2 9 43.100000 
2 10 50.300000 
2 11 57.000000 
2 12 62.000000 
2 13 65.800000 
2 14 67.800000 
2 15 69.800000 
2 16 71.000000 
2 17 71.700000 
2 18 70.800000 
2 19 67.000000 
2 20 61.600000 
2 21 58.700000 
2 22 57.600000 
2 23 56.400000 
3 0 55.800000 
3 1 55.600000 
3 2 54.100000 
3 3 53.100000 
3 4 52.500000 
3 5 51.400000 
3 6 49.600000 
3 7 48.200000 
3 8 45.700000 
3 9 45.400000 
3 10 51.200000 
3 11 58.500000 
3 12 65.900000 
3 13 70.700000 
3 14 72.700000 
3 15 73.900000 
3 16 75.000000 
3 17 75.400000 
3 18 74.600000 
3 19 70.700000 
3 20 65.800000 
3 21 63.300000 
3 22 62.000000 
3 23 60.900000 
4 0 60.100000 
4 1 59.000000 
4 2 57.100000 
4 3 56.900000 
4 4 56.600000 
4 5 56.600000 
4 6 55.800000 
4 7 56.100000 
4 8 55.500000 
4 9 55.100000 
4 10 58.600000 
4 11 63.500000 
4 12 67.400000 
4 13 71.400000 
4 14 73.200000 
4 15 74.400000 
4 16 75.700000 
4 17 74.800000 
4 18 73.200000 
4 19 70.600000 
4 20 67.200000 
4 21 64.900000 
4 22 63.000000 
4 23 62.700000 
5 0 62.800000 
5 1 62.300000 
5 2 62.500000 
5 3 63.200000 
5 4 63.200000 
5 5 62.900000 
5 6 62.600000 
5 7 62.800000 
5 8 62.900000 
5 9 63.400000 
5 10 64.700000 
5 11 67.100000 
5 12 70.700000 
5 13 73.800000 
5 14 77.200000 
5 15 78.400000 
5 16 78.800000 
5 17 79.000000 
5 18 77.600000 
5 19 76.400000 
5 20 74.600000 
5 21 73.800000 
5 22 73.000000 
5 23 71.800000 
6 0 70.400000 
6 1 69.500000 
6 2 68.800000 
6 3 67.800000 
6 4 66.900000 
6 5 66.800000 
6 6 66.500000 
6 7 63.900000 
6 8 59.900000 
6 9 57.500000 
6 10 59.300000 
6 11 61.500000 
6 12 64.200000 
6 13 66.500000 
6 14 68.900000 
6 15 70.900000 
6 16 71.600000 
6 17 71.100000 
6 18 69.900000 
6 19 65.500000 
6 20 61.600000 
6 21 58.500000 
6 22 57.100000 
6 23 55.500000 
7 0 53.800000 
7 1 51.900000 
7 2 50.500000 
7 3 48.200000 
7 4 46.100000 
7 5 46.200000 
7 6 44.900000 
7 7 44.600000 
